Test No,Pin No,Mating Pin,Connectors,Part No,Harness,Harness Name
T3,T3A1,1,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A2,2,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A3,3,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A4,4,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A5,6,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A6,7,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A7,8,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A8,12,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A9,13,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A10,17,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A11,18,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A12,19,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A13,20,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A14,21,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A15,22,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A16,23,IEK2M,C23NR10234,FEM00399,EDC CAB - WIRING HARNESS
T3,T3A17,,,,,
T3,T3A18,,,,,
T3,T3A19,,,,,
T3,T3A20,,,,,
T3,T3A21,,,,,
T3,T3A22,,,,,
T3,T3A23,,,,,
T3,T3A24,,,,,
T3,T3A25,,,,,
T3,T3B1,1,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B2,2,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B3,3,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B4,4,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B5,5,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B6,6,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B7,7,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B8,13,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B9,14,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B10,15,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B11,16,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B12,19,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B13,20,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B14,21,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B15,22,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B16,23,FB2MA,C25NR10165,FAG17100,CHASSIS WIRING HARNESS
T3,T3B17,,,,,
T3,T3B18,,,,,
T3,T3B19,,,,,
T3,T3B20,,,,,
T3,T3B21,,,,,
T3,T3B22,,,,,
T3,T3B23,,,,,
T3,T3B24,,,,,
T3,T3B25,,,,,
T3,T3C1,1,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C2,2,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C3,7,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C4,9,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C5,10,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C6,11,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C7,14,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C8,16,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C9,17,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C10,18,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C11,22,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C12,24,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C13,25,FB2MB,C25NR10163,FAG17100,CHASSIS WIRING HARNESS
T3,T3C14,,,,,
T3,T3C15,,,,,
T3,T3C16,,,,,
T3,T3C17,,,,,
T3,T3C18,,,,,
T3,T3C19,,,,,
T3,T3C20,,,,,
T3,T3C21,,,,,
T3,T3C22,,,,,
T3,T3C23,,,,,
T3,T3C24,,,,,
T3,T3C25,,,,,
T3,T3D1,1,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D2,2,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D3,4,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D4,5,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D5,6,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D6,7,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D7,8,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D8,9,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D9,10,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D10,12,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D11,13,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D12,16,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D13,17,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D14,18,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D15,21,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D16,22,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D17,23,MEB2MA,C25NR10164,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3D18,,,,,
T3,T3D19,,,,,
T3,T3D20,,,,,
T3,T3D21,,,,,
T3,T3D22,,,,,
T3,T3D23,,,,,
T3,T3D24,,,,,
T3,T3D25,,,,,
T3,T3E1,1,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E2,2,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E3,3,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E4,4,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E5,5,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E6,6,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E7,7,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E8,8,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E9,10,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E10,11,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E11,12,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E12,14,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E13,15,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E14,16,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E15,17,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E16,18,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E17,19,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E18,20,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E19,21,MEB2MB,C25NR10166,FFJ00600,MAIN EXTERIOR HARNESS
T3,T3E20,,,,,
T3,T3E21,,,,,
T3,T3E22,,,,,
T3,T3E23,,,,,
T3,T3E24,,,,,
T3,T3E25,,,,,
T3,T3F1,A2,BCU-A,,,
T3,T3F2,A3,BCU-A,,,
T3,T3F3,A4,BCU-A,,,
T3,T3F4,B1,BCU-A,,,
T3,T3F5,B2,BCU-A,,,
T3,T3F6,B3,BCU-A,,,
T3,T3F7,B4,BCU-A,,,
T3,T3F8,C1,BCU-A,,,
T3,T3F9,C2,BCU-A,,,
T3,T3F10,C3,BCU-A,,,
T3,T3F11,D1,BCU-A,,,
T3,T3F12,D2,BCU-A,,,
T3,T3F13,D3,BCU-A,,,
T3,T3F14,D4,BCU-A,,,
T3,T3F15,E3,BCU-A,,,
T3,T3F16,E4,BCU-A,,,
T3,T3F17,F1,BCU-A,,,
T3,T3F18,F2,BCU-A,,,
T3,T3F19,F3,BCU-A,,,
T3,T3F20,F4,BCU-A,,,
T3,T3F21,G2,BCU-A,,,
T3,T3F22,G3,BCU-A,,,
T3,T3F23,G4,BCU-A,,,
T3,T3F24,H3,BCU-A,,,
T3,T3F25,H4,BCU-A,,,
T3,T3G1,A3,BCU-B,,,
T3,T3G2,B1,BCU-B,,,
T3,T3G3,B2,BCU-B,,,
T3,T3G4,B3,BCU-B,,,
T3,T3G5,B4,BCU-B,,,
T3,T3G6,C1,BCU-B,,,
T3,T3G7,D3,BCU-B,,,
T3,T3G8,E1,BCU-B,,,
T3,T3G9,E4,BCU-B,,,
T3,T3G10,F3,BCU-B,,,
T3,T3G11,F4,BCU-B,,,
T3,T3G12,G1,BCU-B,,,
T3,T3G13,G2,BCU-B,,,
T3,T3G14,L1,BCU-B,,,
T3,T3G15,L2,BCU-B,,,
T3,T3G16,L3,BCU-B,,,
T3,T3G17,L4,BCU-B,,,
T3,T3G18,M1,BCU-B,,,
T3,T3G19,M2,BCU-B,,,
T3,T3G20,,,,,
T3,T3G21,,,,,
T3,T3G22,,,,,
T3,T3G23,,,,,
T3,T3G24,,,,,
T3,T3G25,,,,,
T3,T3H1,B2,BCU-C,,,
T3,T3H2,C3,BCU-C,,,
T3,T3H3,D1,BCU-C,,,
T3,T3H4,D2,BCU-C,,,
T3,T3H5,D3,BCU-C,,,
T3,T3H6,D4,BCU-C,,,
T3,T3H7,E1,BCU-C,,,
T3,T3H8,E3,BCU-C,,,
T3,T3H9,E4,BCU-C,,,
T3,T3H10,F1,BCU-C,,,
T3,T3H11,F2,BCU-C,,,
T3,T3H12,G1,BCU-C,,,
T3,T3H13,H1,BCU-C,,,
T3,T3H14,H3,BCU-C,,,
T3,T3H15,H4,BCU-C,,,
T3,T3H16,,,,,
T3,T3H17,,,,,
T3,T3H18,,,,,
T3,T3H19,,,,,
T3,T3H20,,,,,
T3,T3H21,,,,,
T3,T3H22,,,,,
T3,T3H23,,,,,
T3,T3H24,,,,,
T3,T3H25,,,,,
T3,T3I1,A1,BCU-D,,,
T3,T3I2,A2,BCU-D,,,
T3,T3I3,A4,BCU-D,,,
T3,T3I4,B1,BCU-D,,,
T3,T3I5,B3,BCU-D,,,
T3,T3I6,B4,BCU-D,,,
T3,T3I7,C2,BCU-D,,,
T3,T3I8,C3,BCU-D,,,
T3,T3I9,J1,BCU-D,,,
T3,T3I10,J2,BCU-D,,,
T3,T3I11,K1,BCU-D,,,
T3,T3I12,K2,BCU-D,,,
T3,T3I13,L1,BCU-D,,,
T3,T3I14,L2,BCU-D,,,
T3,T3I15,M3,BCU-D,,,
T3,T3I16,M4,BCU-D,,,
T3,T3I17,,,,,
T3,T3I18,,,,,
T3,T3I19,,,,,
T3,T3I20,,,,,
T3,T3I21,,,,,
T3,T3I22,,,,,
T3,T3I23,,,,,
T3,T3I24,,,,,
T3,T3I25,,,,,
